product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
0,145815672.0,145980174.0,672,9,312,22830,135,140,104,8,49,10098,9127,0,4
5,145815672.0,145939710.0,1011,9,770,9091,39,127,32,14,76,10097,9128,0,4
0,145815672.0,145191720.0,718,9,1929,1377,128,183,62,8,50,10096,9129,0,4
0,145815678.0,146237502.0,898,9,357,35238,128,183,62,8,50,10095,9130,0,4
4,145815678.0,145193118.0,701,7,847,41926,171,168,42,12,57,10094,56,1,2
0,145815678.0,145190538.0,686,5,712,22884,135,140,104,8,49,10093,9131,0,4
5,145815678.0,146239848.0,1047,9,1411,11439,165,46,56,14,33,10092,9132,0,4
0,145815678.0,145190172.0,960,9,2249,13743,128,183,62,8,50,10091,9133,0,4
5,145815678.0,145944198.0,233,1,3808,38914,39,127,32,14,76,10090,9134,0,4
0,145815684.0,146503632.0,827,4,2090,20748,135,140,104,8,49,10089,9135,0,4
5,145815684.0,145191252.0,427,7,3459,18203,165,46,56,14,33,10088,9136,0,4
5,145815684.0,145978440.0,255,9,3617,32531,165,46,56,14,33,10087,9137,0,4
5,145815690.0,146505822.0,890,9,488,34784,39,127,32,14,76,10086,9138,0,4
5,145815690.0,145977342.0,963,9,1087,25467,165,46,56,14,33,10085,9139,0,4
5,145815702.0,146504808.0,40,9,1232,11888,39,127,32,14,76,10084,9140,0,4
0,145815702.0,145973238.0,951,4,2694,20408,128,183,62,8,50,10083,9141,0,4
0,145815720.0,146506350.0,951,9,430,20470,128,183,62,8,50,10082,9142,0,4
0,145815726.0,146235474.0,656,9,158,23336,135,140,104,8,49,10081,9143,0,4
0,145815726.0,146235816.0,903,5,1157,28698,128,183,62,8,50,10080,9144,0,4
5,145815726.0,146506248.0,415,7,3715,4403,165,46,56,14,33,10079,9145,0,4
5,145815732.0,145980198.0,253,9,240,33019,39,127,32,14,76,10078,9146,0,4
0,145815732.0,145980186.0,717,7,821,1357,128,183,62,8,50,10077,9063,0,4
0,145815732.0,146506524.0,659,4,3690,23230,135,140,104,8,49,10076,9062,0,4
0,145815732.0,146506290.0,777,5,726,24449,135,140,104,8,49,10075,9061,0,4
5,145815738.0,146504904.0,0,9,2058,9986,39,127,32,14,76,10074,9032,0,4
0,145815738.0,146505642.0,949,9,3014,20381,128,183,62,8,50,10073,8977,0,4
0,145815738.0,145894266.0,814,3,84,25009,135,140,104,8,49,10072,8978,0,4
5,145815738.0,145853244.0,642,5,1450,3900,165,46,56,14,33,10071,8979,0,4
0,145815738.0,145937184.0,651,4,3185,6537,135,140,104,8,49,10070,8980,0,4
0,145815738.0,146505072.0,547,9,1410,4791,128,183,62,8,50,10069,8981,0,4
5,145815738.0,145936686.0,868,9,908,1496,39,127,32,14,76,10068,8982,0,4
0,145815744.0,145865958.0,932,5,3574,38754,128,183,62,8,50,10067,8983,0,4
0,145815744.0,145192848.0,651,5,3230,6483,135,140,104,8,49,10066,8984,0,4
0,145815750.0,145815750.0,813,2,0,25075,135,140,104,8,49,10065,8985,0,4
0,145815750.0,146239476.0,897,9,2727,35278,128,183,62,8,50,10064,8986,0,4
4,145815750.0,145815750.0,123,6,0,46814,171,168,42,12,57,10063,56,1,2
5,145815750.0,146505408.0,361,5,2217,3085,165,46,56,14,33,10062,8987,0,4
0,145815750.0,145933176.0,932,5,2430,38744,128,183,62,8,50,10143,8988,0,4
0,145815750.0,145976040.0,523,9,2493,4807,128,183,62,8,50,10142,8989,0,4
0,145815750.0,146505018.0,777,9,884,24423,135,140,104,8,49,10141,8990,0,4
0,145815750.0,145943232.0,766,9,1559,51,135,140,104,8,49,10140,8991,0,4
0,145815756.0,146505084.0,956,9,1808,20383,128,183,62,8,50,10139,8992,0,4
0,145815756.0,145193766.0,730,7,3204,6223,135,140,104,8,49,10138,8993,0,4
0,145815756.0,146237088.0,497,4,3563,14234,128,183,62,8,50,10137,8994,0,4
0,145815756.0,145925610.0,822,4,2389,25093,135,140,104,8,49,10136,8995,0,4
0,145815762.0,145936980.0,803,7,372,11243,135,140,104,8,49,10135,8996,0,4
0,145815762.0,145943094.0,902,9,2641,29149,128,183,62,8,50,10134,8997,0,4
5,145815762.0,146504232.0,885,9,3611,34783,39,127,32,14,76,10133,8998,0,4
0,145815762.0,145977186.0,731,5,1050,5984,135,140,104,8,49,10132,8999,0,4
5,145815762.0,145193040.0,353,7,1714,2866,165,46,56,14,33,10131,9000,0,4
0,145815768.0,145816194.0,454,7,149,20008,128,183,62,8,50,10130,9001,0,4
5,145815768.0,146506194.0,20,9,1882,15477,39,127,32,14,76,10129,8976,0,4
0,145815768.0,145865400.0,921,5,100,38196,128,183,62,8,50,10128,8975,0,4
0,145815768.0,146239728.0,736,5,524,6386,135,140,104,8,49,10127,8974,0,4
0,145815768.0,145925604.0,822,4,2389,25244,135,140,104,8,49,10126,8960,0,4
4,145815774.0,146238618.0,888,9,2927,47423,6,43,0,15,91,10125,8949,0,3
5,145815774.0,145945476.0,421,7,810,1936,165,46,56,14,33,10124,8950,0,4
0,145815774.0,146505042.0,502,9,597,13830,128,183,62,8,50,10123,8951,0,4
0,145815774.0,146506326.0,777,5,726,23981,135,140,104,8,49,10122,8952,0,4
0,145815774.0,146504694.0,286,9,2823,6170,135,140,104,8,49,10121,8953,0,4
5,145815774.0,146504232.0,885,9,3611,34785,39,127,32,14,76,10120,8954,0,4
5,145815780.0,146501526.0,964,5,1539,25468,165,46,56,14,33,10119,8955,0,4
0,145815780.0,146505234.0,930,9,2346,38289,128,183,62,8,50,10118,8956,0,4
0,145815780.0,145815780.0,813,2,0,25245,135,140,104,8,49,10117,8957,0,4
0,145815780.0,145191126.0,759,8,1553,6388,135,140,104,8,49,10116,8958,0,4
0,145815780.0,145815780.0,457,2,0,19465,128,183,62,8,50,10115,8959,0,4
5,145815786.0,146506302.0,117,9,3740,795,165,46,56,14,33,10114,8961,0,4
0,145815786.0,146237376.0,950,5,3067,20281,128,183,62,8,50,10113,8973,0,4
5,145815786.0,145936164.0,236,9,61,33183,39,127,32,14,76,10112,8962,0,4
0,145815786.0,145193766.0,730,7,3204,5862,135,140,104,8,49,10111,8963,0,4
5,145815792.0,146504118.0,234,9,2159,32383,39,127,32,14,76,10110,8964,0,4
3,145815792.0,146506002.0,89,9,2365,30252,128,183,62,8,50,10109,8965,0,4
0,145815792.0,145937028.0,902,3,677,29133,128,183,62,8,50,10108,8966,0,4
0,145815792.0,146234844.0,516,5,1288,28088,128,183,62,8,50,10107,8967,0,4
0,145815792.0,146239320.0,894,4,2524,38073,128,183,62,8,50,10106,8968,0,4
0,145815792.0,146239122.0,681,9,2523,22945,135,140,104,8,49,10105,8969,0,4
0,145815792.0,146236392.0,814,9,1406,25246,135,140,104,8,49,10104,8970,0,4
5,145815792.0,146238618.0,888,9,2927,36636,39,127,32,14,76,10103,8971,0,4
5,145815798.0,146505996.0,656,9,648,15640,165,46,56,14,33,10184,8972,0,4
5,145815798.0,145978290.0,839,9,762,21441,165,46,56,14,33,10183,9002,0,4
5,145815798.0,145193508.0,249,9,317,33732,39,127,32,14,76,10182,9003,0,4
0,145815798.0,145815798.0,840,2,0,21546,135,140,104,8,49,10181,9004,0,4
3,145815798.0,145974990.0,91,4,229,30256,128,183,62,8,50,10180,9005,0,4
5,145815798.0,145923948.0,465,5,2218,19238,165,46,56,14,33,10179,9035,0,4
0,145815798.0,146504616.0,497,9,3733,14145,128,183,62,8,50,10178,9036,0,4
0,145815798.0,146503392.0,929,9,2748,38604,128,183,62,8,50,10177,9037,0,4
0,145815804.0,145940652.0,964,9,135,25337,135,140,104,8,49,10176,9038,0,4
5,145815804.0,146239122.0,681,9,2523,22951,39,127,32,14,76,10175,9039,0,4
0,145815810.0,145977480.0,657,9,3746,23426,135,140,104,8,49,10174,9040,0,4
0,145815810.0,146501418.0,502,9,1556,13850,128,183,62,8,50,10173,9041,0,4
0,145815810.0,146234454.0,921,5,77,38169,128,183,62,8,50,10172,9042,0,4
5,145815810.0,145978290.0,839,9,762,21311,165,46,56,14,33,10171,9043,0,4
3,145815810.0,145978512.0,90,9,2745,30260,128,183,62,8,50,10170,9044,0,4
0,145815810.0,145936884.0,884,9,3209,35311,128,183,62,8,50,10169,9045,0,4
0,145815816.0,146506044.0,930,9,638,38219,128,183,62,8,50,10168,9046,0,4
0,145815816.0,145977054.0,659,4,2946,22738,135,140,104,8,49,10167,9047,0,4
5,145815816.0,145884834.0,256,5,689,32886,39,127,32,14,76,10166,9048,0,4
0,145815816.0,146504862.0,453,5,2868,19364,128,183,62,8,50,10165,9049,0,4
5,145815816.0,145858914.0,424,7,2731,18543,165,46,56,14,33,10164,9050,0,4
5,145815816.0,145192662.0,268,9,3361,39121,39,127,32,14,76,10163,9051,0,4
3,145815816.0,146238162.0,107,9,2004,30274,128,183,62,8,50,10162,9052,0,4
0,145815822.0,146503056.0,963,9,3274,25338,135,140,104,8,49,10161,9053,0,4
0,145815822.0,146238294.0,915,4,370,38581,128,183,62,8,50,10160,9054,0,4
0,145815822.0,146505996.0,659,9,648,23292,135,140,104,8,49,10159,9055,0,4
4,145815822.0,145815822.0,365,6,0,40794,171,168,42,12,57,10158,56,1,2
0,145815822.0,145863732.0,502,5,31,13880,128,183,62,8,50,10157,9056,0,4
5,145815822.0,146237430.0,211,9,2865,34045,165,46,56,14,33,10156,9057,0,4
5,145815822.0,146239326.0,249,9,545,33526,39,127,32,14,76,10155,9058,0,4
5,145815822.0,146237304.0,887,9,1564,36859,39,127,32,14,76,10154,9059,0,4
0,145815822.0,146505648.0,886,1,1926,36490,128,183,62,8,50,10153,9034,0,4
5,145815822.0,146238054.0,108,4,2359,30638,165,46,56,14,33,10152,9060,0,4
0,145815828.0,146506494.0,928,9,1200,38492,128,183,62,8,50,10151,9033,0,4
0,145815828.0,145894812.0,655,9,349,23305,135,140,104,8,49,10150,9031,0,4
3,145815828.0,146505054.0,89,9,1479,30393,128,183,62,8,50,10149,9006,0,4
0,145815828.0,146505078.0,457,5,1983,19524,128,183,62,8,50,10148,9007,0,4
5,145815828.0,145978290.0,839,9,762,21442,165,46,56,14,33,10147,9008,0,4
0,145815828.0,146505402.0,886,9,1729,37423,135,140,104,8,49,10146,9009,0,4
0,145815834.0,145938984.0,964,5,1951,25354,135,140,104,8,49,10145,9010,0,4
0,145815834.0,146506488.0,655,9,2383,23506,135,140,104,8,49,10144,9011,0,4
0,145815834.0,145816194.0,932,11,3184,38823,128,183,62,8,50,10225,9012,0,4
5,145815834.0,146239110.0,715,9,1299,8497,165,46,56,14,33,10224,9013,0,4
5,145815834.0,146506104.0,626,9,1067,1614,39,127,32,14,76,10223,9014,0,4
3,145815840.0,146237736.0,107,9,2916,30396,128,183,62,8,50,10222,9015,0,4
0,145815840.0,146506488.0,656,9,2383,23329,135,140,104,8,49,10221,9016,0,4
0,145815840.0,146505990.0,935,9,633,38841,128,183,62,8,50,10220,9017,0,4
0,145815840.0,146505702.0,507,9,1771,14050,128,183,62,8,50,10219,9018,0,4
5,145815840.0,145884834.0,261,5,689,34164,39,127,32,14,76,10218,9019,0,4
5,145815840.0,145944996.0,105,4,2354,30752,165,46,56,14,33,10217,9020,0,4
5,145815840.0,145976808.0,434,5,198,18805,165,46,56,14,33,10216,9021,0,4
0,145815846.0,145192692.0,655,9,176,23319,135,140,104,8,49,10215,9022,0,4
0,145815846.0,145862238.0,964,9,1951,25355,135,140,104,8,49,10214,9023,0,4
5,145815846.0,146503236.0,74,9,2438,25739,165,46,56,14,33,10213,9024,0,4
